sid	stu_name	email	init_edollars	type	pid
S8338416X	Arnie Colley	arnie.2014@smu.edu.sg	225.7	DD	BL
G1195010I	Asmaa Rocha	asmaa.2017@smu.edu.sg	225.86		BSS
S7695175S	Jarvis Craig	jarvis.2016@smu.edu.sg	226.02	SM	BSS
G5759261J	Simeon Norton	simeon.2017@smu.edu.sg	226.25	SM	BSS
S7877279F	Ellie-May Chung	ellie-may.2014@smu.edu.sg	226.34		BAcc
S8462148D	Jemima Miller	jemima.2014@smu.edu.sg	226.36		BSS
S7829305T	Sahil Cruz	sahil.2014@smu.edu.sg	226.39	SM	BSIS
G7572792I	Savannah Rosales	savannah.2014@smu.edu.sg	226.4		BSIS
G1208785A	Aaisha Bourne	aaisha.2016@smu.edu.sg	226.61	SM	BSIS
S4478795A	Rikki Stafford	rikki.2016@smu.edu.sg	320	DD	BSIS
S3819776S	Lennie Avalos	lennie.2014@smu.edu.sg	226.85		BL
S1519154B	Gerald Mckay	gerald.2015@smu.edu.sg	226.92		BSIS
S9658278H	Taiba Snider	taiba.2017@smu.edu.sg	227		BAcc
G5493642S	Roma Fleming	roma.2017@smu.edu.sg	227.01		BAcc
S4319479Q	Guy Preston	guy.2014@smu.edu.sg	227.43	DD	BBM
S2396544Q	Emma Foley	emma.2017@smu.edu.sg	227.43	SM	BSIS
G4628081R	Bogdan Mcdonnell	bogdan.2016@smu.edu.sg	227.53		BSIS
G2942350W	Darcy Davis	darcy.2014@smu.edu.sg	227.59		BAcc
S4429035J	Saim Macgregor	saim.2016@smu.edu.sg	227.93		BSS
S9993878T	Jazmin Grainger	jazmin.2017@smu.edu.sg	227.95		BL
G2267726F	Nikodem Choi	nikodem.2015@smu.edu.sg	228.03	SM	BSS
G2171199U	Roma Kirk	roma.2015@smu.edu.sg	228.06		BSIS
S2879175E	Kaisha Webber	kaisha.2014@smu.edu.sg	250	DD	BSEcons
G9889393M	Diana Simpson	diana.2016@smu.edu.sg	228.51		BBM
G4342386S	Hector Fox	hector.2017@smu.edu.sg	228.58	SM	BSEcons
S7065095Y	Kameron Broughton	kameron.2015@smu.edu.sg	228.71		BSS
S1130579W	Eathan Yu	eathan.2014@smu.edu.sg	228.84	SM	BL
S4398168E	Nate Beaumont	nate.2017@smu.edu.sg	229.28		BSEcons
S2151505T	Jannat Arellano	jannat.2017@smu.edu.sg	229.51	SM	BAcc
S7736624D	Jamie-Leigh Mcdonald	jamie-leigh.2015@smu.edu.sg	229.52	DD	BAcc
G3188338A	Shelby Fuller	shelby.2017@smu.edu.sg	229.65	SM	BSEcons
S7350403S	Steffan Barrett	steffan.2017@smu.edu.sg	229.94	DD	BBM
G9504221J	Zaki Anthony	zaki.2014@smu.edu.sg	230.46		BSS
S5372390B	Katie Kavanagh	katie.2014@smu.edu.sg	230.51		BSS
G2437794Z	Jemimah Khan	jemimah.2017@smu.edu.sg	230.56		BL
S9312268F	Bertram Nairn	bertram.2014@smu.edu.sg	230.57	SM	BSEcons
S8846986Z	Miguel Cline	miguel.2016@smu.edu.sg	250		BL
S9296245I	Aminah Amos	aminah.2014@smu.edu.sg	230.73		BL
G3785313W	Yazmin Leal	yazmin.2016@smu.edu.sg	230.83	SM	BSS
G5436843F	Ferne Moore	ferne.2014@smu.edu.sg	231.05		BL
G5977969S	Keaton Nelson	keaton.2016@smu.edu.sg	231.65	SM	BSEcons
G7786106N	Carrie-Ann Bauer	carrie-ann.2016@smu.edu.sg	231.72	DD	BL
G2343328I	Karam Rigby	karam.2014@smu.edu.sg	232.47	SM	BSIS
S3936500N	Dario Beltran	dario.2014@smu.edu.sg	232.81	SM	BSIS
S4454511H	Alison Elliott	alison.2017@smu.edu.sg	232.94	SM	BSIS
G4573443G	Blythe Hunt	blythe.2017@smu.edu.sg	232.98		BBM
S1169979T	Loui Rodriguez	loui.2015@smu.edu.sg	233.16		BL
S2159167J	Kaylee Whitworth	kaylee.2014@smu.edu.sg	233.65	DD	BAcc
S9578840F	Olivia-Grace Avalos	olivia-grace.2017@smu.edu.sg	233.96		BBM
G8270127R	Lilianna Guzman	lilianna.2017@smu.edu.sg	181.35	DD	BBM
G1632868N	Lois Lamb	lois.2015@smu.edu.sg	234.23		BBM
G7596012S	Dennis Hodgson	dennis.2014@smu.edu.sg	234.62		BL
G3136398I	Maureen Camacho	maureen.2014@smu.edu.sg	234.63	SM	BSS
G5993120I	Jody Berg	jody.2014@smu.edu.sg	234.7	SM	BSIS
G9991103W	Hana Whitney	hana.2014@smu.edu.sg	234.97		BSS
S9737354Z	Kendra Grimes	kendra.2014@smu.edu.sg	235.42		BL
S2989349J	Tallulah Savage	tallulah.2015@smu.edu.sg	235.59		BSEcons
S7872496X	Anand Frye	anand.2017@smu.edu.sg	236.26		BSIS
S3867523T	Ameera Kendall	ameera.2015@smu.edu.sg	236.41	SM	BAcc
S2720526P	Gabriel Hussain	gabriel.2015@smu.edu.sg	236.57		BL
S5116441Y	Krisha Lane	krisha.2014@smu.edu.sg	237.03		BSS
G8581159Q	Gemma Beaumont	gemma.2015@smu.edu.sg	237.13		BSIS
G5377802W	Muskaan Parra	muskaan.2016@smu.edu.sg	237.29		BSEcons
G7131610A	Izaac Murphy	izaac.2017@smu.edu.sg	237.55		BSIS
S3889202W	Asmaa Waller	asmaa.2015@smu.edu.sg	237.66	SM	BBM
S7750138L	Archer Decker	archer.2014@smu.edu.sg	237.75		BL
G5509856W	Paulina Navarro	paulina.2015@smu.edu.sg	237.81	DD	BBM
G7112022G	Kaleem Chung	kaleem.2014@smu.edu.sg	237.83	SM	BSS
G2094450X	Sofia Horner	sofia.2014@smu.edu.sg	238.99		BL
G9839109H	Tamanna Fuentes	tamanna.2017@smu.edu.sg	239.18		BSEcons
S7602352T	Donald Colon	donald.2015@smu.edu.sg	239.49		BAcc
G8202023S	Lorelei Rodrigues	lorelei.2015@smu.edu.sg	239.59	SM	BSIS
G4496276I	Anika Kaiser	anika.2014@smu.edu.sg	239.92	DD	BL
S2699521W	Franciszek Haigh	franciszek.2015@smu.edu.sg	239.99		BL
S6269776A	Glenn Cousins	glenn.2016@smu.edu.sg	240.11	SM	BAcc
G9314572Q	Lexi-Mai Walker	lexi-mai.2017@smu.edu.sg	240.37	DD	BSS
G5814907Q	Zahara Dalby	zahara.2014@smu.edu.sg	240.46		BL
G3131367A	Kobie Herrera	kobie.2017@smu.edu.sg	240.46		BAcc
S5205839X	Klay Moody	klay.2015@smu.edu.sg	240.5		BSS
G8964245P	Aimee Bevan	aimee.2014@smu.edu.sg	240.88		BSIS
G6333129R	Iestyn Sanderson	iestyn.2017@smu.edu.sg	240.89	SM	BSIS
G6672509I	Rahima Obrien	rahima.2016@smu.edu.sg	241.16		BSS
S2340970G	Luci Dale	luci.2014@smu.edu.sg	241.34		BSS
G3097851X	Delia Leal	delia.2014@smu.edu.sg	241.55	DD	BSEcons
S8815308T	Habiba Macias	habiba.2016@smu.edu.sg	241.95		BL
G9217215C	Said Christian	said.2014@smu.edu.sg	242.48	SM	BSS
S5768989N	Christie Mcdougall	christie.2014@smu.edu.sg	242.52	SM	BAcc
G5258103F	Beau Humphrey	beau.2017@smu.edu.sg	242.57	SM	BSEcons
G4091976F	Rosina Searle	rosina.2014@smu.edu.sg	242.94	SM	BSEcons
G5208341A	Hetty Espinosa	hetty.2017@smu.edu.sg	242.98		BSIS
S5175075G	Chyna Parkinson	chyna.2015@smu.edu.sg	400	DD	BSEcons
S4205714Z	Ophelia Bartlett	ophelia.2017@smu.edu.sg	243.27		BBM
S5326224L	Wren Stuart	wren.2016@smu.edu.sg	243.78		BBM
S1475974S	Anthony Donnelly	anthony.2017@smu.edu.sg	244.12	SM	BL
G5036179G	Jennie Greig	jennie.2014@smu.edu.sg	244.23		BL
S1155511K	Md Meyers	md.2017@smu.edu.sg	244.7	DD	BL
S6235229H	Denny Thorne	denny.2016@smu.edu.sg	350	DD	BSIS
G2240309J	Brennan Houghton	brennan.2014@smu.edu.sg	245.35		BSIS
S7326226X	Lillie-Mai Rowe	lillie-mai.2015@smu.edu.sg	245.36		BSIS
G4306019F	Abbie Lancaster	abbie.2016@smu.edu.sg	245.51	DD	BL
G9464086V	Tamera Workman	tamera.2015@smu.edu.sg	245.62		BSS
S8556162S	Ivo Hirst	ivo.2017@smu.edu.sg	245.93		BBM
S9795863M	Cara Harvey	cara.2017@smu.edu.sg	246.15	SM	BAcc
S6263822N	Kathleen Pike	kathleen.2017@smu.edu.sg	246.44	DD	BSS
G3051526E	Lisa-Marie Kramer	lisa-marie.2014@smu.edu.sg	246.62		BL
G6230292I	Dan Bernard	dan.2015@smu.edu.sg	247.43		BBM
S4051507M	Xavier Moore	xavier.2014@smu.edu.sg	247.44		BSS
G8423416T	Neal Dorsey	neal.2017@smu.edu.sg	247.54	DD	BSEcons
S6896814Q	Cillian Dupont	cillian.2014@smu.edu.sg	247.58		BAcc
S8496448J	Enrique Mcdonnell	enrique.2015@smu.edu.sg	248.23		BL
S4406218H	Darcie-Mae Jackson	darcie-mae.2015@smu.edu.sg	248.79		BSEcons
S7499140M	Larry Goodwin	larry.2015@smu.edu.sg	248.83		BL
G1972304L	Kiah Colley	kiah.2014@smu.edu.sg	248.88	SM	BSEcons
G5506313T	Manpreet Daly	manpreet.2014@smu.edu.sg	249.02		BSS
G6357152H	Rhiannon Castaneda	rhiannon.2014@smu.edu.sg	170.02	DD	BSEcons
G4960145W	Harlow Lott	harlow.2017@smu.edu.sg	249.32		BBM
S7670799A	Darci Wilder	darci.2017@smu.edu.sg	249.49		BL
S8380807S	Cassie Dixon	cassie.2015@smu.edu.sg	249.65	SM	BBM
G6143882J	Griff Bush	griff.2016@smu.edu.sg	249.69		BSS
S1474034R	Rikesh Jefferson	rikesh.2015@smu.edu.sg	249.79	SM	BSIS
S4605592H	Dolcie Dudley	dolcie.2016@smu.edu.sg	249.82		BSEcons
G9425750X	Safa Gunn	safa.2015@smu.edu.sg	250.07	DD	BSEcons
G3809854U	Lacey-May Vu	lacey-may.2014@smu.edu.sg	250.53	DD	BSEcons
S1960652N	Javier Mccray	javier.2014@smu.edu.sg	250.54	DD	BSIS
S8141760Y	Farhan Mccormick	farhan.2016@smu.edu.sg	250.55	SM	BSIS
G4073042H	Athena Pace	athena.2016@smu.edu.sg	250.9	SM	BSEcons
